"[47.492513000000002, 19.053502999999999]"
"[47.493817, 19.056820000000002]"
"[47.495212000000002, 19.064348000000003]"
"[47.497292999999999, 19.071995999999999]"
"[47.498057000000003, 19.074417999999998]"
"[47.499372999999999, 19.079645000000003]"
"[47.499497999999996, 19.092005]"
"[47.499470000000002, 19.085620000000002]"
"[47.499997, 19.097003000000001]"
"[47.499524999999998, 19.098389999999998]"
"[47.503500000000003, 19.101143]"
"[47.500023999999996, 19.103386999999998]"
"[47.507474999999999, 19.103895000000001]"
"[47.514029999999998, 19.095862]"
"[47.516789000000003, 19.092214000000002]"
"[47.481103999999995, 19.091203]"
"[47.480069999999998, 19.065635]"
"[47.481314000000005, 19.083839999999999]"
"[47.479508000000003, 19.102046999999999]"
"[47.481065999999998, 19.101483999999999]"
"[47.50094, 19.052614999999999]"
"[47.504018000000002, 19.053777]"
"[47.499437, 19.054131999999999]"
"[47.500112999999999, 19.054447]"
"[47.499943000000002, 19.054933999999999]"
"[47.498255, 19.053114000000001]"
"[47.510022999999997, 19.055167000000001]"
"[47.510339000000002, 19.056132000000002]"
"[47.515563, 19.059035000000002]"
"[47.511020000000002, 19.058482000000001]"
"[47.516171999999997, 19.074889000000002]"
"[47.514868, 19.072589999999998]"
"[47.513145000000002, 19.072507999999999]"
"[47.510345000000001, 19.070961999999998]"
"[47.507391999999996, 19.066520000000001]"
"[47.506013000000003, 19.064575000000001]"
"[47.505333, 19.064377]"
"[47.504389000000003, 19.063210000000002]"
"[47.507289, 19.058294]"
"[47.510655999999997, 19.056365]"
"[47.509273999999998, 19.058598999999997]"
"[47.516003000000005, 19.074627]"
"[47.488258999999999, 19.105861999999998]"
"[47.481184000000006, 19.102160000000001]"
"[47.483717999999996, 19.097868999999999]"
"[47.503923, 19.104164999999998]"
"[47.507624999999997, 19.103342000000001]"
"[47.511102000000001, 19.097823000000002]"
"[47.512044000000003, 19.100812000000001]"
"[47.495934000000005, 19.104502]"
"[47.480291999999999, 19.10219]"
"[47.510554999999997, 19.05667]"
"[47.516204999999999, 19.060632999999999]"
"[47.514062000000003, 19.060904000000001]"
"[47.513846999999998, 19.067226999999999]"
"[47.512419000000001, 19.060231999999999]"
"[47.515219000000002, 19.059856]"
"[47.516337999999998, 19.061658999999999]"
"[47.515415999999995, 19.057887000000001]"
"[47.512855999999999, 19.062905999999998]"
"[47.511502, 19.052762000000001]"
"[47.510515999999996, 19.056129000000002]"
"[47.516247, 19.062701999999998]"
"[47.515214, 19.102329999999998]"
"[47.512822999999997, 19.096895]"
"[47.51153, 19.100731]"
"[47.514927, 19.092347]"
"[47.512471000000005, 19.101199999999999]"
"[47.510715999999995, 19.096602999999998]"
"[47.512850999999998, 19.102446]"
"[47.506933000000004, 19.106007999999999]"
"[47.509696000000005, 19.100216]"
"[47.507004999999999, 19.095866000000001]"
"[47.503965000000001, 19.105042000000001]"
"[47.499266999999996, 19.104037999999999]"
"[47.499769999999998, 19.100984]"
"[47.502611000000002, 19.098458999999998]"
"[47.48948, 19.105198999999999]"
"[47.480769000000002, 19.102646]"
"[47.478790999999994, 19.101598000000003]"
"[47.481815999999995, 19.104092999999999]"
"[47.484473000000001, 19.078248000000002]"
"[47.480895000000004, 19.059615000000001]"
"[47.478877000000004, 19.060017999999999]"
"[47.482438000000002, 19.056701999999998]"
"[47.481578000000006, 19.053045999999998]"
"[47.481466999999995, 19.063772]"
"[47.502088000000001, 19.052804999999999]"
"[47.49691, 19.060532000000002]"
"[47.494993000000001, 19.053777]"
"[47.480719999999998, 19.066969]"
"[47.517074999999998, 19.090792]"
"[47.503723999999998, 19.104673000000002]"
"[47.499321000000002, 19.081555999999999]"
"[47.499765000000004, 19.085557000000001]"
"[47.502471999999997, 19.100258]"
"[47.500605999999998, 19.081301999999997]"
"[47.498523999999996, 19.077423]"
"[47.496068999999999, 19.071451999999997]"
"[47.495601000000001, 19.073067999999999]"
"[47.492280999999998, 19.053494000000001]"
"[47.499730999999997, 19.075351000000001]"
"[47.497058000000003, 19.06542]"
"[47.480134, 19.062823000000002]"
"[47.492880999999997, 19.054467000000002]"
"[47.494145000000003, 19.059846]"
"[47.492584999999998, 19.060507000000001]"
"[47.489608000000004, 19.062295000000002]"
"[47.488996999999998, 19.068301999999999]"
"[47.485141999999996, 19.068698999999999]"
"[47.497619999999998, 19.070616000000001]"
"[47.502670000000002, 19.077197000000002]"
"[47.495645000000003, 19.070162]"
"[47.512360999999999, 19.090722]"
"[47.487891999999995, 19.070166]"
"[47.492266999999998, 19.054825000000001]"
"[47.515675999999999, 19.063043]"
"[47.512391000000001, 19.067714000000002]"
"[47.499499999999998, 19.068396]"
"[47.495286, 19.070356]"
"[47.509363999999998, 19.057697000000001]"
"[47.498740999999995, 19.053692000000002]"
"[47.516034999999995, 19.097114999999999]"
"[47.508516999999998, 19.055205999999998]"
"[47.493929999999999, 19.060198]"
"[47.496724, 19.056956]"
"[47.497203000000006, 19.055851000000001]"
"[47.497597999999996, 19.054711999999999]"
"[47.497430000000001, 19.054544]"
"[47.490938, 19.054000000000002]"
"[47.490228999999999, 19.054378]"
"[47.492779999999996, 19.053260000000002]"
